"행정구역","2019년02월_계_총인구수","2019년02월_계_연령구간인구수","2019년02월_계_0세","2019년02월_남_총인구수","2019년02월_남_연령구간인구수","2019년02월_남_0세","2019년02월_여_총인구수","2019년02월_여_연령구간인구수","2019년02월_여_0세"
"전국  (0000000000)","51,829,538","311,415","311,415","25,866,255","159,891","159,891","25,963,283","151,524","151,524"
"서울특별시  (1100000000)","9,770,638","53,738","53,738","4,773,605","27,977","27,977","4,997,033","25,761","25,761"
"부산광역시  (2600000000)","3,436,230","17,883","17,883","1,689,253","9,119","9,119","1,746,977","8,764","8,764"
"대구광역시  (2700000000)","2,458,138","13,614","13,614","1,217,209","6,959","6,959","1,240,929","6,655","6,655"
"인천광역시  (2800000000)","2,956,063","18,743","18,743","1,482,440","9,557","9,557","1,473,623","9,186","9,186"
"광주광역시  (2900000000)","1,459,208","8,639","8,639","722,689","4,458","4,458","736,519","4,181","4,181"
"대전광역시  (3000000000)","1,487,605","8,872","8,872","743,135","4,540","4,540","744,470","4,332","4,332"
"울산광역시  (3100000000)","1,153,735","7,763","7,763","592,853","3,994","3,994","560,882","3,769","3,769"
"세종특별자치시  (3600000000)","320,326","3,610","3,610","159,860","1,856","1,856","160,466","1,754","1,754"
"경기도  (4100000000)","13,104,696","86,220","86,220","6,592,095","44,262","44,262","6,512,601","41,958","41,958"
"강원도  (4200000000)","1,540,445","8,023","8,023","774,988","4,088","4,088","765,457","3,935","3,935"
"충청북도  (4300000000)","1,598,868","10,053","10,053","808,975","5,150","5,150","789,893","4,903","4,903"
"충청남도  (4400000000)","2,125,372","13,917","13,917","1,082,148","7,069","7,069","1,043,224","6,848","6,848"
"전라북도  (4500000000)","1,832,227","9,341","9,341","911,110","4,761","4,761","921,117","4,580","4,580"
"전라남도  (4600000000)","1,875,862","10,755","10,755","939,624","5,446","5,446","936,238","5,309","5,309"
"경상북도  (4700000000)","2,671,587","15,258","15,258","1,344,344","7,928","7,928","1,327,243","7,330","7,330"
"경상남도  (4800000000)","3,371,016","20,372","20,372","1,696,062","10,352","10,352","1,674,954","10,020","10,020"
"제주특별자치도  (5000000000)","667,522","4,614","4,614","335,865","2,375","2,375","331,657","2,239","2,239"
